Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
FINIVO FASHION,Textured Shirts for Men || Casual Shirt for Men || Shirt for Men|| Men Stylish Shirt || Men Fancy Shirt || Men Full Sleeve Shirt || Plain Shirts for Men,4.5 out of 5 stars,163,₹499,"₹1,499",(67% off)
Peter England,Men's Checkered Slim Fit Shirt,4.1 out of 5 stars,231,₹989,"₹1,799",(45% off)
Peter England,Solid Slim Fit Full Sleeve Casual Shirt | 100% Cotton,3.5 out of 5 stars,589,₹879,"₹1,599",(45% off)
Arrow,Men's Striped Slim Fit Shirt,na,na,"₹1,163.67","₹2,399",(51% off)
U-TURN,Men's Cotton Casual Printed Striped Stylish Latest Shirt for Men,3.8 out of 5 stars,19,₹428,"₹1,598",(73% off)
UATHAYAM,White Beauty Cotton Full Sleeve Solid Slim Fit Trending White Formal Shirt for Men Pack of 1,4.0 out of 5 stars,700,₹649,₹699,(7% off)
MARK & ALBERT,Men's Cotton Formal Shirt,3.8 out of 5 stars,596,₹948,"₹3,999",(76% off)
Raymond,Men's Slim Fit Pure Cotton Structure Pattern Semi Cutaway Collar Full Sleeve Formal Shirt,na,na,₹999,"₹1,999",(50% off)
Arrow,Men's Solid Slim Fit Shirt (ARAEOSH1449_LT. Grey,5.0 out of 5 stars,1,"₹1,139","₹2,299",(50% off)
Symbol Premium,Men's Wrinkle-Resistant Regular Fit Cotton Formal Shirt,4.0 out of 5 stars,499,"₹1,699","₹2,599",(35% off)
Amazon Brand - Symbol,Men's Solid Cotton Shirt | Chinese Collar | Casual | Plain | Full Sleeve | Summer-Regular Fit (Available in Plus Size),4.0 out of 5 stars,294,₹549,"₹1,899",(71% off)
Amazon Brand - Symbol,Men's Solid Formal Regular Fit Shirt (Pack of 2),4.0 out of 5 stars,"1,027","₹1,149","₹3,198",(64% off)
Amazon Brand - Symbol,Men's Solid 100% Cotton Regular Fit Casual Shirt (Kurta Placket Style),4.0 out of 5 stars,"2,504",₹599,"₹1,799",(67% off)
Dennis Lingo,"Men's Cotton Buffalo Check Slim Fit Casual Shirt with Pocket, Full Sleeve Shirt for Formal & Casual Wear (Also Available in Plus Size)",4.0 out of 5 stars,"7,074",₹674.10,"₹2,499",(73% off)
Peter England,Men's Slim Fit Full Sleeve Striped Formal Shirt | Cotton Rich | Wonder Fabric | Pin Point Oxford,3.8 out of 5 stars,10,₹799,"₹1,399",(43% off)
Peter England,Men's Regular Fit Full Sleeve Striped Formal Shirt | Cotton Rich | Wonder Fabric | Premium Dobby Weave,4.1 out of 5 stars,29,"₹1,009","₹1,799",(44% off)
Amazon Brand - Symbol,Men's Solid Cotton Rich Formal Shirt | Plain | Full Sleeve-Regular Fit (Available in Plus Size),3.8 out of 5 stars,"10,355",₹549,"₹1,699",(68% off)
Van Heusen,Men Slim Fit Formal Shirt,3.7 out of 5 stars,310,"₹1,019","₹1,899",(46% off)
Louis Philippe,Men's Solid Slim Fit Shirt,3.5 out of 5 stars,13,"₹1,062.15","₹2,299",(54% off)
OTUS,Men's Cotton Solid Formal/Semi Formal Shirt,3.5 out of 5 stars,"1,579",₹428,"₹1,799",(76% off)
Park Avenue,Men's Slim Fit Checkered Pattern Polycotton Narrow Collar Full Sleeve Formal Shirt,3.9 out of 5 stars,"1,824",₹764,"₹1,699",(55% off)
Park Avenue,Men's Striped Slim Fit Shirt,4.0 out of 5 stars,4,₹944,"₹2,099",(55% off)
Arrow,Men's Solid Full Sleeve Slim Fit Cutaway Collar Cotton Formal Shirt,3.9 out of 5 stars,42,"₹1,209","₹2,299",(47% off)
Arrow,Men's Regular Fit Shirt,na,na,₹844.48,"₹1,999",(58% off)
Arrow,Men's Structured Slim Fit Shirt,4.0 out of 5 stars,22,"₹1,019","₹2,199",(54% off)
MARKRICH,Men's 100% Cotton Slim Fit Shirt | Stylish Full Sleeves Spread Collar Shirt for Casual & Formal Wear | Cotton Shirt Crafted with Comfort Fit for Everyday Wear | Buttoned Single Pocket Design,4.3 out of 5 stars,93,₹419,"₹1,499",(72% off)
Miraan,Men's Long Sleeve Formal Stripes Regular Fit Shirt,3.5 out of 5 stars,39,₹336,"₹1,478",(77% off)
Van Heusen,Men's Modern Fit Shirt,1.0 out of 5 stars,1,"₹1,033.78","₹2,299",(55% off)
