Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
SGF11,Women's Trendy Kanjivaram Soft Lichi Silk Saree With Blouse Piece,3.9 out of 5 stars,418,₹699,"₹5,999",(88% off)
Yashika,Women's Trendy Printed Georgette Red Color Saree with Blouse Material,3.7 out of 5 stars,351,₹259,"₹1,495",(83% off)
VJ Fashion,Women Kerala Silk Blend Saree With Blouse Piece_freesize,3.5 out of 5 stars,63,₹369,"₹1,199",(69% off)
SGF11,Women's Kanjivaram Pure Handloom Soft Silk Saree With Blouse Piece,4.5 out of 5 stars,9,"₹1,599","₹8,999",(82% off)
Generic,Lorofy Women's Net Saree With Blouse (Grey),4.0 out of 5 stars,1,₹359,"₹1,999",(82% off)
Monjolika Fashion,Women's Banarasi Silk Blend Woven Zari With Tussles Saree and Jacquard Woven Blouse Piece (37765 color),4.0 out of 5 stars,"2,235","₹1,499","₹6,999",(79% off)
Avantika Fashion,"Women's Kanjivaram Soft Silk Banarasi Sarees With Blouse Piece, Red",4.0 out of 5 stars,84,₹616,"₹2,499",(75% off)
SIRIL,Women's Kanjivaram Silk Jacquard Saree With Blouse Piece,4.7 out of 5 stars,3,₹669,"₹3,073",(78% off)
Flosive,Women's Mix Color & Golden Kanjivaram Wedding Saree With Blouse (DARK GREEN),3.4 out of 5 stars,63,₹579,"₹4,500",(87% off)
Generic,Women's silk plain saree with banglory mono blouse,5.0 out of 5 stars,1,₹310,₹999,(69% off)
Mehrang,Cotton Banarasi Silk Saree for Women With Unstitched Blouse Piece,4.2 out of 5 stars,183,"₹1,311","₹3,999",(67% off)
SANDIAM SALES,"Dori Saree Shapewear,Petticoat,Skirts for Women, Cotton Blended Shape Wear for Saree (SH_Dori_All)",3.6 out of 5 stars,19,₹299,₹999,(70% off)
Vimla,Women's Multicolor Malgudi Art Silk Uniform Saree with Blouse Piece (24-Single),3.9 out of 5 stars,69,₹599,₹999,(40% off)
Shiv Textiles,Womens Polyester Saree For Women,1.0 out of 5 stars,1,₹299,₹499,(40% off)
Garden Vareli,Floral Print Nara Chiffon Saree 73475,5.0 out of 5 stars,2,₹849,"₹1,699",(50% off)
SGF11,Women's Kanjivaram Pure Soft Silk Handloom Saree Pure Golden Zari With Blouse Piece,4.2 out of 5 stars,769,"₹1,499","₹8,999",(83% off)
SERONA FABRICS,Women's Assam Cotton Silk With Golden Border Thread Embroidered Work Saree With Blouse Piece,4.2 out of 5 stars,91,"₹1,299","₹4,999",(74% off)
SERONA FABRICS,Women's Assam Cotton Silk With Golden Border Thread Embroidery Saree With Blouse Piece,4.1 out of 5 stars,"1,113","₹1,249","₹4,999",(75% off)
Sugathari,Women's Banarasi Saree Pure Kanjivaram Silk Saree Soft new ladies 2023 Design Wear Pattu Sarees Latest Cotton Party Sari collections With Blouse Piece for Wedding sadi (SAM PARI-104),3.8 out of 5 stars,13,₹659.71,"₹3,499",(81% off)
GHAN SALS,Women's Printed Dola Silk Saree With Unstiched Blouse,3.8 out of 5 stars,156,₹568,"₹3,245",(82% off)
Shiv Textiles,Women's Jacquard Silk Blend Saree,3.6 out of 5 stars,6,₹796,"₹1,999",(60% off)
Shiv Textiles,Women's Banarasi Silk Saree,3.8 out of 5 stars,"3,453",₹699,"₹2,399",(71% off)
Generic,Women’s Perfect Curvy Look Saree Shapewear (Fish Cut Combo Cream Maroon N.Blue XL),4.2 out of 5 stars,4,₹499,₹999,(50% off)
SGF11,Women's Kanjivaram Pure Soft Silk Handloom Saree Pure Golden Zari With Blouse Piece,4.2 out of 5 stars,769,"₹1,499","₹5,999",(75% off)
A To Z Cart,Women's Chanderi Embroidered Saree Chanderi Lotus-New,3.3 out of 5 stars,15,₹699,"₹1,999",(65% off)
SERONA FABRICS,Women's Assam Cotton Silk With Golden Border Thread Embroidered Work Saree With Blouse Piece,4.2 out of 5 stars,91,"₹1,299","₹4,999",(74% off)
AKHILAM,Women's Georgette Geometric Printed Saree With Unstitched Blouse,3.8 out of 5 stars,557,"₹1,849","₹7,399",(75% off)
Paramparik Textile,Women's Kanjivaram Soft Silk Saree With Blouse Piece,3.8 out of 5 stars,52,₹599,"₹2,499",(76% off)
SIRIL,Women's Shimmer Chiffon Sequence Embroidery Saree With Unstitched Blouse Piece,3.5 out of 5 stars,11,"₹1,499","₹5,999",(75% off)
MANOHARI,adorable woven pattern Banarasi Silk saree for women with Blouse Piece,4.0 out of 5 stars,"1,210","₹1,999","₹9,999",(80% off)
Yashika,Womens Latest Woven Printed Kanjivaram Banarasi Art Silk Saree Saree with Unstitched Blouse Material - Suitable for All Indian Weddings and Festivals,4.4 out of 5 stars,99,₹619,"₹1,799",(66% off)
